Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Hyundai,Eon,1.0 Kappa Era +,Manual,Petrol,247000,74000,6,Chennai
Hyundai,Eon,1.0 Kappa Magna (O) AirBag,Manual,Petrol,243000,80000,7,Chennai
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,188000,31000,9,Ahmedabad
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,171000,43211,10,Ahmedabad
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,191000,77906,9,Bangalore
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,177000,59335,10,Bangalore
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,180000,44500,10,Bangalore
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,182000,81000,9,Hyderabad
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,165000,63000,10,Kolkata
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,173000,41275,10,Kolkata
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,167000,38958,10,Kolkata
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,188000,35000,9,Kolkata
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,190000,81162,9,Mumbai
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,200000,42035,8,Pune
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,160000,70000,10,Pune
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Manual,Petrol,178000,89000,9,Pune
Renault,Kwid [2015-2019],1.0 Marvel Iron Man Edition,Manual,Petrol,277000,47928,6,Bangalore
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,238000,33000,6,Vadodara
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,225000,59371,7,Bangalore
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,254000,35000,6,Bangalore
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,212000,39468,7,Faridabad
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,214000,46598,7,Hyderabad
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,442000,10138,3,Kolkata
Renault,Kwid [2015-2019],1.0 RXL AMT [2017-2019],Automatic,Petrol,251000,35000,6,Kolkata
Renault,Kwid,1.0 RXL Edition,Manual,Petrol,249000,46000,6,Kolkata
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,294000,74000,5,Ahmedabad
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,309000,24349,5,Chennai
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,300000,35000,6,Delhi
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,245000,132747,7,Gurgaon
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,331000,22000,4,Gurgaon
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,295000,54000,6,Delhi
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,290000,74000,6,Delhi
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,280000,30000,7,Delhi
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,256000,50000,8,Mumbai
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,330000,10000,5,Mumbai
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,276000,64000,6,Thane
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,254000,17474,8,Navi
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,302000,33000,6,Kolkata
Renault,Kwid [2015-2019],1.0 RXL [2017-2019],Manual,Petrol,284000,84900,8,Mumbai
Renault,Kwid [2019-2022],1.0 RXT,Manual,Petrol,371000,25000,4,Pune
Renault,Kwid [2019-2022],1.0 RXT,Manual,Petrol,349000,36000,4,Pune
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,400000,4695,3,Bangalore
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,323000,50000,4,Chennai
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,399000,8000,3,Delhi
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,298000,21578,5,Thane
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,469000,10663,5,Bangalore
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,315000,40000,4,Delhi
Renault,Kwid,1.0 RXT AMT Opt,Automatic (AMT),Petrol,491000,12000,3,Kolkata
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,214000,42000,8,Ahmedabad
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,382000,17152,3,Bangalore
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,280000,41993,6,Bangalore
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,277000,53488,6,Bangalore
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,318000,25000,4,Chennai
Renault,Kwid [2015-2019],1.0 RXT AMT Opt [2016-2019],Automatic (AMT),Petrol,258000,61000,6,Chennai
